%time,field.data
1463052036481666306,1400.0
1463052036531649319,1400.0
1463052036581655178,1400.0
1463052036631640565,1400.0
1463052036681654715,1400.0
1463052036731538022,1400.0
1463052036781658960,1400.0
1463052036831637768,1400.0
1463052036881649507,1400.0
1463052036931541062,1400.0
1463052036981666201,1400.0
1463052037031527854,1400.0
1463052037081547988,1400.0
1463052037131539714,1400.0
1463052037181707675,1400.0
1463052037231514207,1400.0
1463052037281719299,1400.0
1463052037331555549,1400.0
1463052037381727284,1400.0
1463052037431527367,1400.0
1463052037481675846,1400.0
1463052037531511948,1400.0
1463052037581657440,1400.0
1463052037631526429,1400.0
1463052037681701307,1400.0
1463052037731560069,1400.0
1463052037781835730,1400.0
1463052037831531729,1400.0
1463052037881669869,1400.0
1463052037931539848,1400.0
1463052037981685896,1400.0
1463052038031599898,1400.0
1463052038081650406,1400.0
1463052038131496211,1400.0
1463052038181542751,1400.0
1463052038231553175,1400.0
1463052038281554121,1400.0
1463052038331659208,1400.0
1463052038381675215,1400.0
1463052038431479200,1400.0
1463052038481628718,1400.0
1463052038531517224,1400.0
1463052038581516010,1400.0
1463052038631527454,1400.0
1463052038681516521,1400.0
1463052038731507394,1400.0
1463052038781512505,1400.0
1463052038831716572,1400.0
1463052038881714062,1400.0
1463052038931649578,1400.0
1463052038981677363,1400.0
1463052039031673022,1400.0
1463052039081692354,1400.0
1463052039131573184,1400.0
1463052039181681780,1400.0
1463052039231538535,1400.0
1463052039281648645,1400.0
1463052039331614793,1400.0
1463052039381543307,1400.0
1463052039431696631,1400.0
1463052039481704189,1400.0
1463052039531512203,1400.0
1463052039581741972,1400.0
1463052039631526856,1400.0
1463052039681722345,1400.0
1463052039731645782,1400.0
1463052039781699041,1400.0
1463052039831511443,1400.0
1463052039881547304,1400.0
1463052039931659487,1400.0
1463052039981682106,1400.0
1463052040031531626,1400.0
1463052040081659242,1400.0
1463052040131503460,1400.0
1463052040181659920,1400.0
1463052040231537261,1400.0
1463052040281555954,1400.0
1463052040331521345,1400.0
1463052040381649779,1400.0
1463052040431525667,1400.0
1463052040481675809,1400.0
1463052040531631041,1400.0
1463052040581540833,1400.0
1463052040631578873,1400.0
1463052040681724418,1400.0
1463052040731522329,1400.0
1463052040781670339,1400.0
1463052040831550281,1400.0
1463052040881697383,1400.0
1463052040931499368,1400.0
1463052040981650477,1400.0
1463052041031507123,1400.0
1463052041081652024,1400.0
1463052041131611502,1400.0
1463052041181660300,1400.0
1463052041231497591,1400.0
1463052041281666792,1400.0
1463052041331538220,1400.0
1463052041381719144,1400.0
1463052041431652006,1400.0
1463052041481682296,1400.0
1463052041531503439,1400.0
1463052041581668581,1400.0
1463052041631502408,1400.0
1463052041681702495,1400.0
1463052041731649667,1400.0
1463052041781527690,1400.0
1463052041831507803,1400.0
1463052041881670777,1400.0
1463052041931580816,1400.0
1463052041981526900,1400.0
1463052042031584016,1400.0
1463052042081664725,1400.0
1463052042131561870,1400.0
1463052042181694710,1400.0
1463052042231548760,1400.0
1463052042281525381,1400.0
1463052042331517769,1400.0
1463052042381676377,1400.0
1463052042431540547,1400.0
1463052042481604389,1400.0
1463052042531503634,1400.0
1463052042581688963,1400.0
1463052042631514816,1400.0
1463052042681690080,1400.0
1463052042731521944,1400.0
1463052042781542561,1400.0
1463052042831511280,1400.0
1463052042881529798,1400.0
1463052042931517557,1400.0
1463052042981651533,1400.0
1463052043031592673,1400.0
1463052043081653175,1400.0
1463052043131520982,1400.0
1463052043181545442,1400.0
1463052043231536166,1400.0
1463052043281726737,1400.0
1463052043331552049,1400.0
1463052043381587020,1400.0
1463052043431740088,1400.0
1463052043481673614,1400.0
1463052043531586999,1400.0
1463052043581650815,1400.0
1463052043631497389,1400.0
1463052043681841986,1400.0
1463052043731532768,1400.0
1463052043781578170,1400.0
1463052043831514266,1400.0
1463052043881667142,1400.0
1463052043931595788,1400.0
1463052043981657282,1400.0
1463052044031555505,1400.0
1463052044081659607,1400.0
1463052044131525574,1400.0
1463052044181626658,1400.0
1463052044231529174,1400.0
1463052044281649777,1400.0
1463052044331666009,1400.0
1463052044381616540,1400.0
1463052044431564064,1400.0
1463052044481658893,1400.0
1463052044531590014,1400.0
1463052044581749746,1400.0
1463052044631690663,1400.0
1463052044681673835,1400.0
1463052044731707575,1400.0
1463052044781992788,1400.0
1463052044831621046,1400.0
1463052044881549387,1400.0
1463052044931569487,1400.0
1463052044981678657,1400.0
1463052045031615304,1400.0
1463052045081676084,1400.0
