%time,field.data
1463052036481665566,0.0
1463052036531653616,0.0
1463052036581655350,-0.00249350001104
1463052036631642017,0.0
1463052036681663300,0.00249350001104
1463052036731545113,0.0
1463052036781670748,0.0
1463052036831638684,0.0
1463052036881651141,-0.00249350001104
1463052036931554194,0.0
1463052036981666203,0.0
1463052037031527646,0.0
1463052037081546474,0.0
1463052037131537866,-0.00249350001104
1463052037181706260,0.0
1463052037231517489,0.0
1463052037281725309,0.0
1463052037331559960,0.0
1463052037381740563,0.0
1463052037431528526,0.0
1463052037481685080,0.0
1463052037531518426,0.0
1463052037581660648,0.0
1463052037631531509,0.0
1463052037681700942,0.0
1463052037731564047,0.0
1463052037781839613,0.0
1463052037831538499,0.0
1463052037881682483,0.0
1463052037931537414,0.0
1463052037981688099,0.0
1463052038031603798,0.0
1463052038081650404,0.0
1463052038131499854,0.0
1463052038181574310,0.0
1463052038231552979,0.0
1463052038281572180,0.0
1463052038331665277,0.0
1463052038381681869,0.0
1463052038431482658,0.0
1463052038481628722,0.0
1463052038531515228,0.0
1463052038581510046,0.0
1463052038631527357,0.0
1463052038681511878,0.0
1463052038731529702,0.0
1463052038781504243,0.0
1463052038831716422,0.0
1463052038881714032,0.0
1463052038931651914,0.00249350001104
1463052038981695953,0.0
1463052039031682926,0.0
1463052039081692352,0.0
1463052039131576536,0.0
1463052039181686809,0.0
1463052039231550454,0.0
1463052039281615636,0.0
1463052039331618700,0.0
1463052039381538025,-0.00249350001104
1463052039431707975,0.0
1463052039481716653,0.0
1463052039531500997,0.0
1463052039581741703,0.0
1463052039631530066,-0.00249350001104
1463052039681722343,0.0
1463052039731655032,0.0
1463052039781699043,0.0
1463052039831500325,0.00498700002208
1463052039881554418,0.0
1463052039931660573,0.0
1463052039981684080,0.0
1463052040031534348,0.0
1463052040081667625,0.0
1463052040131508357,0.0
1463052040181681958,0.0
1463052040231544084,0.0
1463052040281560016,0.0
1463052040331525712,0.00249350001104
1463052040381650761,-0.00249350001104
1463052040431529198,0.0
1463052040481680162,0.0
1463052040531629608,0.00249350001104
1463052040581541548,-0.00249350001104
1463052040631549066,0.00249350001104
1463052040681741028,0.0
1463052040731526078,0.0
1463052040781672661,0.0
1463052040831555012,0.0
1463052040881695410,0.0
1463052040931515429,0.0
1463052040981675395,0.0
1463052041031511419,0.0
1463052041081651540,0.0
1463052041131614732,0.0
1463052041181682001,0.0
1463052041231492005,0.0
1463052041281674754,0.0
1463052041331547484,0.0
1463052041381719146,0.0
1463052041431656115,0.0
1463052041481690149,0.0
1463052041531507667,0.0
1463052041581669510,0.0
1463052041631505519,0.0
1463052041681703939,0.0
1463052041731651354,0.0
1463052041781534362,0.0
1463052041831532902,0.0
1463052041881674158,0.0
1463052041931585509,0.0
1463052041981540199,0.0
1463052042031590983,0.0
1463052042081684582,0.0
1463052042131561946,0.0
1463052042181696607,0.0
1463052042231548023,0.0
1463052042281521745,0.0
1463052042331531904,0.0
1463052042381684971,0.0
1463052042431545518,0.0
1463052042481618529,0.0
1463052042531501230,0.0
1463052042581687539,0.0
1463052042631508872,0.0
1463052042681690703,0.0
1463052042731505560,0.0
1463052042781554761,0.0
1463052042831515043,0.0
1463052042881535477,0.0
1463052042931519139,0.0
1463052042981651581,0.0
1463052043031599211,0.0
1463052043081663827,0.0
1463052043131528163,0.0
1463052043181532545,0.0
1463052043231535658,-0.00249350001104
1463052043281734662,0.0
1463052043331552287,0.0
1463052043381591240,0.0
1463052043431805450,0.0
1463052043481674299,0.0
1463052043531589507,0.0
1463052043581652701,0.0
1463052043631520176,0.0
1463052043681842890,-0.00249350001104
1463052043731542035,0.0
1463052043781580127,0.0
1463052043831521310,0.0
1463052043881670020,0.0
1463052043931600317,0.0
1463052043981665466,0.0
1463052044031553146,0.0
1463052044081665669,0.0
1463052044131523602,0.0
1463052044181623800,0.0
1463052044231519413,0.0
1463052044281654408,0.0
1463052044331664744,0.0
1463052044381643583,0.0
1463052044431571297,-0.00249350001104
1463052044481658925,0.0
1463052044531599414,0.00249350001104
1463052044581748333,0.0
1463052044631690895,0.0
1463052044681673840,0.0
1463052044731713017,0.0
1463052044781992773,0.0
1463052044831636098,0.0
1463052044881553721,0.0
1463052044931561282,0.0
1463052044981677704,0.0
1463052045031615439,0.0
1463052045081683146,0.0
1463052045131501491,0.0
1463052045181538927,-0.00249350001104
1463052045231552046,0.0
1463052045281672509,0.0
1463052045331557047,0.0
1463052045381669849,0.0
1463052045431561262,0.0
1463052045481649517,0.0
1463052045531517350,0.0
1463052045581564535,0.0
1463052045631494347,0.0
1463052045681556428,0.0
1463052045731514600,0.0
1463052045781527094,0.0
1463052045831518782,0.0
1463052045881656346,0.0
1463052045931702788,0.0
1463052045981662062,0.0
1463052046031719969,0.0
1463052046081560184,0.0
1463052046131528601,0.0
1463052046181727053,-0.00498700002208
1463052046231527694,-0.00249350001104
1463052046281660533,0.0
1463052046331518141,0.0
1463052046381551345,0.00748050026596
1463052046431547319,0.00498700002208
1463052046481589455,0.0
1463052046531630456,0.0
1463052046581691898,0.0
1463052046631525731,-0.00249350001104
1463052046681512231,0.0
1463052046731619932,-0.00249350001104
1463052046781623644,0.0
1463052046831616039,0.0
1463052046881591086,0.00249350001104
1463052046931552349,0.0
1463052046981628683,0.0
1463052047031565237,-0.00249350001104
1463052047081499275,0.0
1463052047131527668,0.0
1463052047181724299,0.0
1463052047231526073,0.0
1463052047281668066,-0.00249350001104
1463052047331533199,0.0
1463052047381556552,0.0
1463052047431516786,0.00249350001104
1463052047481665553,0.0
1463052047531651468,0.0
1463052047581626385,-0.00249350001104
1463052047631669635,0.0
1463052047681597114,0.0
1463052047731559250,0.0
1463052047781647633,0.0
1463052047831497667,0.0
1463052047881502386,0.0
1463052047931573018,0.0
1463052047981554145,0.0
1463052048031545842,0.0
1463052048081658672,-0.00249350001104
1463052048131504239,0.0
1463052048181613803,0.00249350001104
1463052048231549663,0.0
1463052048281732231,0.0
1463052048331538994,0.0
1463052048381666707,0.0
1463052048431521344,0.0
1463052048481733835,0.0
1463052048531495344,0.00249350001104
1463052048581681748,0.0
1463052048631662801,0.0
1463052048681661884,0.0
1463052048731570832,0.0
1463052048781628420,0.0
1463052048831548618,0.00249350001104
1463052048881716727,0.0
1463052048931631444,0.0
1463052048981557426,0.0
1463052049031525396,0.0
1463052049081552452,0.0
1463052049131547312,0.0
1463052049181663551,0.0
1463052049231706117,0.0
1463052049281672168,0.0
1463052049331557900,0.0
1463052049381680696,0.0
1463052049431652533,0.0
1463052049481665679,0.0
1463052049531537573,0.0
1463052049581686863,0.0
1463052049631519456,0.0
